atlas1_region,atlas2_region,n_voxels_overlap,fractional_region_overlap,atlas1_name,atlas2_name
53,4,6551,0.926853424,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
54,4,3960,0.911812111,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
55,6,5225,0.925925926,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
56,6,6580,0.936788155,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
57,3,4258,0.849391582,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
58,3,4216,0.840677966,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
59,3,1967,0.890851449,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
60,3,3019,0.857183419,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
61,7,3468,0.979384355,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
62,7,3088,0.94318876,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
63,12,5743,0.965210084,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
64,12,5274,0.990050685,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
65,3,2688,0.907801418,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
66,3,3464,0.936975926,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
67,3,3486,0.894075404,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
68,3,4322,0.879885993,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
69,9,5390,0.935926376,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
70,9,5028,0.937010809,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
71,4,3774,0.96670082,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
72,4,2946,0.975496689,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
73,4,6183,0.969274181,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
74,4,5549,0.969257642,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
75,14,4459,0.942108599,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
76,4,3961,0.929812207,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
77,9,3717,0.926701571,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
78,14,4800,0.930052315,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
79,14,4904,0.943258319,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
80,14,2711,0.951561952,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
81,17,3843,0.87460173,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
82,13,4941,0.865930599,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
