atlas1_region,atlas2_region,n_voxels_overlap,fractional_region_overlap,atlas1_name,atlas2_name
232,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
233,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
234,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
235,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
236,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
237,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
238,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
239,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
240,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
241,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
242,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
243,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
244,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
245,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
246,,0,0,BN_Atlas_246,Yeo2011_17Networks_MNI152_FreeSurferConformed1mm_LiberalMask
